DBA,BORO,BUILDING,STREET,ZIPCODE,address,"INSPECTION DATE","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG",SCORE,GRADE,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,City,State,County,Zip,Country,Source
"EAST SIDE CAFE",BROOKLYN,1150,"CARROLL ST",11225,"1150 CARROLL ST",12/07/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.667136,-73.951831,1,rooftop,1150,"Carroll St",Brooklyn,NY,"Kings County",11225,US,"City of New York"
"PLAYGROUND COFFEE SHOP",BROOKLYN,1114,"BEDFORD AVE",11216,"1114 BEDFORD AVE",04/04/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.686616,-73.954716,1,rooftop,1114,"Bedford Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"DUNKIN' DONUTS",BROOKLYN,527,"METROPOLITAN AVE",11211,"527 METROPOLITAN AVE",05/26/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,40.714184,-73.951188,1,rooftop,527,"Metropolitan Ave",Brooklyn,NY,"Kings County",11211,US,"City of New York"
DAVIDsTEA,BROOKLYN,234,"7 AVENUE",11215,"234 7 AVENUE",05/17/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.669858,-73.97929,1,rooftop,234,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"BUSHWICK GRIND COFFEE HOUSE",BROOKLYN,63,"WHIPPLE ST",11206,"63 WHIPPLE ST",10/26/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.701622,-73.944414,1,rooftop,63,"Whipple St",Brooklyn,NY,"Kings County",11206,US,"City of New York"
"COULEUR CAFE",BROOKLYN,435,"7 AVENUE",11215,"435 7 AVENUE",09/27/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,A,40.663376,-73.984327,1,rooftop,435,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
ESTAMINET,BROOKLYN,107A,"7TH AVE",11215,"107A 7TH AVE",03/07/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.673902,-73.97568,1,rooftop,107,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"SWALLOW CAFE",BROOKLYN,205,"N 9TH ST",11211,"205 N 9TH ST",03/09/17,05D,"Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.",Critical,12,A,40.671157,-73.990013,1,rooftop,205,"9th St",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"OUTPOST CAFE",BROOKLYN,1014,"FULTON ST",11238,"1014 FULTON ST",10/18/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,A,40.681964,-73.960259,1,rooftop,1014,"Fulton St",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"BROOKLYN ROASTING COMPANY",BROOKLYN,1,"DEKALB AVE",11201,"1 DEKALB AVE",01/04/18,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.690117,-73.983253,1,rooftop,1,"Dekalb Ave",Brooklyn,NY,"Kings County",11201,US,"City of New York"
ESTAMINET,BROOKLYN,107A,"7TH AVE",11215,"107A 7TH AVE",03/07/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.673902,-73.97568,1,rooftop,107,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"CAFE BIBA",BROOKLYN,101,"KENT AVE",11249,"101 KENT AVE",03/13/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.720718,-73.961106,1,rooftop,101,"Kent Ave",Brooklyn,NY,"Kings County",11249,US,"City of New York"
GATHER,BROOKLYN,341,"7 AVENUE",11215,"341 7 AVENUE",05/01/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.666533,-73.981685,1,rooftop,341,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"BARCEY'S COFFEE",BROOKLYN,140,"ST NICHOLAS AVENUE",11237,"140 ST NICHOLAS AVENUE",07/20/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.702192,-73.91807,0.67,place,,,Brooklyn,NY,"Kings County",11237,US,"TIGER/Line® dataset from the US Census Bureau"
STARBUCKS,BROOKLYN,5400,"AVENUE U",11234,"5400 AVENUE U",07/27/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,A,40.610898,-73.920263,1,rooftop,5400,"Ave U",Brooklyn,NY,"Kings County",11234,US,"City of New York"
"BROOKLYN ROASTING COMPANY",BROOKLYN,38,"WASHINGTON AVE",11205,"38 WASHINGTON AVE",10/26/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.697596,-73.96789,1,rooftop,38,"Washington Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"CAFE ERZULIE",BROOKLYN,894,BROADWAY,11206,"894 BROADWAY",04/20/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.697897,-73.937155,1,rooftop,894,Broadway,Brooklyn,NY,"Kings County",11206,US,"City of New York"
"PASTICCERIA ROCCO",BROOKLYN,9402,"4TH AVE",11209,"9402 4TH AVE",09/19/17,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12,A,40.616671,-74.031066,1,rooftop,9402,"4th Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
Sweatshop,BROOKLYN,232,"METROPOLITAN AVE",11211,"232 METROPOLITAN AVE",03/13/17,10E,"Accurate thermometer not provided in refrigerated or hot holding equipment.","Not Critical",12,A,40.714926,-73.959709,1,rooftop,232,"Metropolitan Ave",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"T ROOM/DISTILLARY",BROOKLYN,85,"FLATBUSH AVENUE EXT",11201,"85 FLATBUSH AVENUE EXT",12/22/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.696544,-73.984507,0.8,rooftop,85,"Flatbush Ave Ext",Brooklyn,NY,"Kings County",11201,US,"City of New York"
"OSLO COFFEE ROASTERS",BROOKLYN,133,"ROEBLING STREET",11211,"133 ROEBLING STREET",05/17/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.714627,-73.956636,1,rooftop,133,"Roebling St",Brooklyn,NY,"Kings County",11211,US,"City of New York"
"MOCHA MOCHA COFFEE",BROOKLYN,8602,"4TH AVE",11209,"8602 4TH AVE",08/09/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.622709,-74.0286,1,rooftop,8602,"4th Ave",Brooklyn,NY,"Kings County",11209,US,"City of New York"
STARBUCKS,BROOKLYN,1608,"SHORE PKWY SOUTH",11214,"1608 SHORE PKWY SOUTH",02/01/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.580636,-73.938666,1,rooftop,1608,"Shore Blvd",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"LITTLE SKIPS",BROOKLYN,941,"WILLOUGHBY AVE",11221,"941 WILLOUGHBY AVE",03/31/17,02G,"Cold food item held above 41Ã‚Âº F (smoked fish and reduced oxygen packaged foods above 38 Ã‚ÂºF) except during necessary preparation.",Critical,12,A,40.697599,-73.931212,1,rooftop,941,"Willoughby Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
STARBUCKS,BROOKLYN,607,"BRIGHTON BEACH AVE",11235,"607 BRIGHTON BEACH AVE",08/15/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.577832,-73.961192,1,rooftop,607,"Brighton Beach Ave",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"BROMPTON CAFE",BROOKLYN,64,"N 9TH ST",11249,"64 N 9TH ST",05/18/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.720886,-73.95987,1,rooftop,64,"N 9th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
ROOTS,BROOKLYN,639,"5TH AVE",11215,"639 5TH AVE",03/09/17,10B,"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.","Not Critical",12,A,40.662876,-73.991629,1,rooftop,639,"5th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
CUP,BROOKLYN,978,"LORIMER STREET",11222,"978 LORIMER STREET",05/30/17,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,40.725308,-73.952524,1,rooftop,978,"Lorimer St",Brooklyn,NY,"Kings County",11222,US,"City of New York"
STARBUCKS,BROOKLYN,166,"7 AVENUE",11215,"166 7 AVENUE",11/24/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.671987,-73.97751,1,rooftop,166,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"Brooklyn Roasting Company",BROOKLYN,63,"FLUSHING AVE",11205,"63 FLUSHING AVE",03/31/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.698228,-73.975163,1,rooftop,63,"Flushing Ave",Brooklyn,NY,"Kings County",11251,US,"City of New York"
"CAFE BIBA",BROOKLYN,101,"KENT AVE",11249,"101 KENT AVE",03/13/17,04K,"Evidence of rats or live rats present in facility's food and/or non-food areas.",Critical,12,A,40.720718,-73.961106,1,rooftop,101,"Kent Ave",Brooklyn,NY,"Kings County",11249,US,"City of New York"
"BROOKLYN ROASTING COMPANY",BROOKLYN,38,"WASHINGTON AVE",11205,"38 WASHINGTON AVE",10/26/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.697596,-73.96789,1,rooftop,38,"Washington Ave",Brooklyn,NY,"Kings County",11205,US,"City of New York"
"LULA BAGEL",BROOKLYN,816,"NOSTRAND AVE",11216,"816 NOSTRAND AVE",06/30/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,40.670892,-73.950547,1,rooftop,816,"Nostrand Ave",Brooklyn,NY,"Kings County",11216,US,"City of New York"
"PRIMROSE CAFE",BROOKLYN,147,"GREENE AVENUE",11238,"147 GREENE AVENUE",01/26/18,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.686783,-73.966215,1,rooftop,147,"Greene Ave",Brooklyn,NY,"Kings County",11238,US,"City of New York"
"DOUGHNUT PLANT",BROOKLYN,245,"FLATBUSH AVENUE",11217,"245 FLATBUSH AVENUE",02/27/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.680625,-73.974737,1,rooftop,245,"Flatbush Ave",Brooklyn,NY,"Kings County",11217,US,"City of New York"
BITTERSWEET,BROOKLYN,17890,"DEKALB AVENUE",11205,"17890 DEKALB AVENUE",03/09/17,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.689523,-73.966135,0.8,street_center,,"Dekalb Ave",Brooklyn,NY,"Kings County",11205,US,"TIGER/Line® dataset from the US Census Bureau"
"Le Labo Cafe",BROOKLYN,120,"N 6TH ST",11249,"120 N 6TH ST",08/01/17,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.718078,-73.959796,1,rooftop,120,"N 6th St",Brooklyn,NY,"Kings County",11249,US,"City of New York"
STARBUCKS,BROOKLYN,1608,"SHORE PKWY SOUTH",11214,"1608 SHORE PKWY SOUTH",02/01/18,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.","Not Critical",12,A,40.580636,-73.938666,1,rooftop,1608,"Shore Blvd",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"ATLAS CAFE",BROOKLYN,116,"HAVEMEYER STREET",11211,"116 HAVEMEYER STREET",02/05/18,08A,"Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical",12,A,40.712821,-73.956846,1,range_interpolation,116,"Havemeyer St",Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
"CAFFEINE UNDERGROUND",BROOKLYN,447,"CENTRAL AVE",11221,"447 CENTRAL AVE",11/27/17,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.","Not Critical",12,A,40.692185,-73.914544,1,rooftop,447,"Central Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
STARBUCKS,BROOKLYN,1608,"SHORE PKWY SOUTH",11214,"1608 SHORE PKWY SOUTH",02/01/18,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,40.580636,-73.938666,1,rooftop,1608,"Shore Blvd",Brooklyn,NY,"Kings County",11235,US,"City of New York"
"LITTLE SKIPS",BROOKLYN,941,"WILLOUGHBY AVE",11221,"941 WILLOUGHBY AVE",03/31/17,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,12,A,40.697599,-73.931212,1,rooftop,941,"Willoughby Ave",Brooklyn,NY,"Kings County",11221,US,"City of New York"
GATHER,BROOKLYN,341,"7 AVENUE",11215,"341 7 AVENUE",12/07/17,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Ã‚Âº F to 70Ã‚Âº F or less within 2 hours, and from 70Ã‚Âº F to 41Ã‚Âº F or less within 4 additional hours.",Critical,12,A,40.666533,-73.981685,1,rooftop,341,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
"Eat Morris",BROOKLYN,145,"BROOKLYN AVE",11213,"145 BROOKLYN AVE",03/07/17,09C,"Food contact surface not properly maintained.","Not Critical",12,A,40.674747,-73.944327,1,rooftop,145,"Brooklyn Ave",Brooklyn,NY,"Kings County",11213,US,"City of New York"
"FOUR & TWENTY BLACKBIRDS",BROOKLYN,634,"DEAN ST",11238,"634 DEAN ST",04/06/17,04A,"Food Protection Certificate not held by supervisor of food operations.",Critical,12,A,40.680367,-73.969325,1,rooftop,634,"Dean St",Brooklyn,NY,"Kings County",11238,US,"City of New York"
STARBUCKS,BROOKLYN,166,"7 AVENUE",11215,"166 7 AVENUE",11/24/17,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12,A,40.671987,-73.97751,1,rooftop,166,"7th Ave",Brooklyn,NY,"Kings County",11215,US,"City of New York"
